Date,Daily_Turnover
2016-06-28,0.021503459986775334
2016-06-29,0.015523954651102751
2016-06-30,0.021661864854078776
2016-07-01,0.014184589964537288
2016-07-05,0.0016476927695326608
2016-07-06,0.009808080538911112
2016-07-07,0.012500899973891597
2016-07-08,0.005829362585740336
2016-07-11,0.013376515922840556
2016-07-12,0.0021547218306168375
2016-07-13,0.010704587317956888
2016-07-14,0.0030174972625811045
2016-07-15,0.019099709181813848
2016-07-18,0.012381131388755177
2016-07-19,0.006890281675231979
2016-07-20,0.002788580033980626
2016-07-21,0.0015462346025374414
2016-07-22,0.03162027500878904
2016-07-25,0.0035996129327986685
2016-07-26,0.013161086637870727
2016-07-27,0.001381234448860456
2016-07-28,0.00968549882432296
2016-07-29,0.012280463931951018
2016-08-01,0.03038152249830848
2016-08-02,0.004990016879185196
2016-08-03,0.008430908174597952
2016-08-04,0.018611278185815983
2016-08-05,0.02558560197972931
2016-08-08,0.015434355907017541
2016-08-09,0.011057739859037503
2016-08-10,0.0033324760723742195
2016-08-11,0.0017135118608277164
2016-08-12,0.007877460677620539
2016-08-15,0.012859954307240684
2016-08-16,0.0037286707192967566
2016-08-17,0.007296458869241414
2016-08-18,0.0009291935968265778
2016-08-19,0.008661129623032235
2016-08-22,0.020765220577897335
2016-08-23,0.00480250848307625
2016-08-24,0.0066727602771878315
2016-08-25,0.002620851404642439
2016-08-26,0.00612581110178844
2016-08-29,0.01613386772267856
2016-08-30,0.003133176471493574
2016-08-31,0.0022169705664317405
2016-09-01,0.01563729272859159
2016-09-02,0.0019407685577827226
2016-09-06,0.0024972389265917744
2016-09-07,0.0022595445133690535
2016-09-08,0.008937396639845455
2016-09-09,0.004292039717885222
2016-09-12,0.01784563596717778
2016-09-13,0.009548999568382928
2016-09-14,0.010449087692513613
2016-09-15,0.005783568997003521
2016-09-16,0.004094080457709048
2016-09-19,0.007520958334792601
2016-09-20,0.004399696192451428
2016-09-21,0.0012495578844787898
2016-09-22,0.007568151599173037
2016-09-23,0.005375632642922647
2016-09-26,0.01089891647655801
2016-09-27,0.012085364268330484
2016-09-28,0.009668034966258345
2016-09-29,0.0016022348190232651
2016-09-30,0.007386344226690274
2016-10-03,0.007618069852110914
2016-10-04,0.014533546441009345
2016-10-05,0.00028138160607420453
2016-10-06,0.005680434600334625
2016-10-07,0.0048628965544301175
2016-10-10,0.004545282441455897
2016-10-11,0.004679988917312235
2016-10-12,0.016960890513936865
2016-10-13,0.0046646602943234226
2016-10-14,0.005646208943012051
2016-10-17,0.00381353998230832
2016-10-18,0.005097462555616402
2016-10-19,0.009127801434984813
2016-10-20,0.005941020810345692
2016-10-21,0.009044119885369201
2016-10-24,0.008307783198720636
2016-10-25,0.0072413520964228996
2016-10-26,0.002059876304519508
2016-10-27,0.0015601722314055114
2016-10-28,0.005552142396652757
2016-10-31,0.006332772480821631
2016-11-01,0.005146298747033506
2016-11-02,0.005464851930561262
2016-11-03,0.009507311620778162
2016-11-04,0.0028407768994862734
2016-11-07,0.006081457098385225
2016-11-08,0.017954168648126094
2016-11-09,0.005289702096451005
2016-11-10,0.041603531043340615
2016-11-11,0.03086196444871637
2016-11-14,0.015114246411434074
2016-11-15,0.012219906732320892
2016-11-16,0.0029031232860527254
2016-11-17,0.008427729948006264
2016-11-18,0.010375905491703304
2016-11-21,0.00447144690842489
2016-11-22,0.0015162358922897355
2016-11-23,0.008204856822584383
2016-11-25,0.0033603272252566976
2016-11-28,0.0022008344570063412
2016-11-29,0.007357098583878734
2016-11-30,0.0035895678415538597
2016-12-01,0.006584017407412376
2016-12-02,0.008419486750783281
2016-12-05,0.008503788669359863
2016-12-06,0.005811961127281351
2016-12-07,0.0038304476016311267
2016-12-08,0.010599646673638661
2016-12-09,0.006272506359134478
2016-12-12,0.0008213113061774427
2016-12-13,0.004642029338007663
2016-12-14,0.008452063935959809
2016-12-15,0.06037113201457413
2016-12-16,0.04293995243633189
2016-12-19,0.032277939374746004
2016-12-20,0.03171227979767555
2016-12-21,0.04583032055186264
2016-12-22,0.006103220009223556
2016-12-23,0.02955894398365791
2016-12-27,0.0004837138847445738
2016-12-28,0.0029399399269028096
2016-12-29,0.024415902921034856
2016-12-30,0.005390874809003635
2017-01-03,0.016445080708517454
2017-01-04,0.00967932335927548
2017-01-05,0.023131364192335885
2017-01-06,0.007181973017154028
2017-01-09,0.006655455652965907
2017-01-10,0.013101239330890427
2017-01-11,0.0019071794771146743
2017-01-12,0.0047102475649897346
2017-01-13,0.013550292983659257
2017-01-17,0.0025254953768898466
2017-01-18,0.018605381799863784
2017-01-19,0.009851992136818564
2017-01-20,0.007702763596024302
2017-01-23,0.010444777248374504
2017-01-24,0.005109160036304438
2017-01-25,0.012976405304210546
2017-01-26,0.017770497365542193
2017-01-27,0.004053265055456276
2017-01-30,0.021231149190061957
2017-01-31,0.006474114762436411
2017-02-01,0.005405417886310123
2017-02-02,0.006804968657171885
2017-02-03,0.0034369669793223494
2017-02-06,0.016460431999641742
2017-02-07,0.0073396597184765145
2017-02-08,0.007003628545527167
2017-02-09,0.006310554099534319
2017-02-10,0.012417722303237922
2017-02-13,0.00347270079353155
2017-02-14,0.008983748519327782
2017-02-15,0.0051078439486786946
2017-02-16,0.007920337009627586
2017-02-17,0.00388354364747907
2017-02-21,0.0005487403413531843
2017-02-22,0.006175695795408729
2017-02-23,0.004188478393215018
2017-02-24,0.005457084010869157
2017-02-27,0.0032261531899116765
2017-02-28,0.0038081125505534472
2017-03-01,0.006408277111281282
2017-03-02,0.022900168800614445
2017-03-03,0.017842433963363994
2017-03-06,0.03670216778902988
2017-03-07,0.013790837959029575
2017-03-08,0.01969355999291807
2017-03-09,0.0065260944907951784
2017-03-10,0.011422096159420839
2017-03-13,0.01333374284875549
2017-03-14,0.004287885081263361
2017-03-15,0.0026611865814948838
2017-03-16,0.012903636941212927
2017-03-17,0.002929846515417928
2017-03-20,0.019893828077227112
2017-03-21,0.014872360434092473
2017-03-22,0.026867828161806717
2017-03-23,0.003454292928172807
2017-03-24,0.016807489019765413
2017-03-27,0.011716687379549487
2017-03-28,0.008888720969832705
2017-03-29,0.008183733777541766
2017-03-30,0.016126445350695684
2017-03-31,0.008254064401831263
2017-04-03,0.009945360430681323
2017-04-04,0.007027783191769669
2017-04-05,0.020325866738108368
2017-04-06,0.010823760526555919
2017-04-07,0.014398179699026773
2017-04-10,0.004006242009575474
2017-04-11,0.00704232554196254
2017-04-12,0.005960422308819273
2017-04-13,0.007560408536855278
2017-04-17,0.021537603703093107
2017-04-18,0.014823725435764802
2017-04-19,0.007695365682952276
2017-04-20,0.008428290183241371
2017-04-21,0.01938497184460691
2017-04-24,0.019024618868831444
2017-04-25,0.018233382204750823
2017-04-26,0.007796127734845131
2017-04-27,0.016073392555072435
2017-04-28,0.018356299867885624
2017-05-01,0.011048351260183456
2017-05-02,0.008690849553991683
2017-05-03,0.026917642346466878
2017-05-04,0.005046533457624008
2017-05-05,0.05931844075953475
2017-05-08,0.053303676455063134
2017-05-09,0.008385059454899485
2017-05-10,0.02398806479699783
2017-05-11,0.0012524782333792443
2017-05-12,0.013259359834933331
2017-05-15,0.021832952547337366
2017-05-16,0.008391811666907903
2017-05-17,0.004794463706096797
2017-05-18,0.041035906925819966
2017-05-19,0.00646390711438141
2017-05-22,0.005827104630933809
2017-05-23,0.01840981450320589
2017-05-24,0.004920887721743318
2017-05-25,0.001396634666202868
2017-05-26,0.014957586104445633
2017-05-30,0.008442227647589498
2017-05-31,0.011396801180465096
2017-06-01,0.010270134375714581
2017-06-02,0.03296524127540316
2017-06-05,0.013904287375768983
2017-06-06,0.0025366109537329215
2017-06-07,0.014372587120717446
2017-06-08,0.007014683238916
2017-06-09,0.01575382676729669
2017-06-12,0.018255509222246103
2017-06-13,0.010348164862378967
2017-06-14,0.006803371132670323
2017-06-15,0.007600655626809262
2017-06-16,0.0035491208783357377
2017-06-19,0.006550511660983327
2017-06-20,0.00794772236156539
2017-06-21,0.009547142066930605
2017-06-22,0.012883730678739108
2017-06-23,0.00777577596107353
2017-06-26,0.0026666870909625743
2017-06-27,0.01218253914269134
2017-06-28,0.031036928105536883
2017-06-29,0.023349808223528522
2017-06-30,0.01323074753575543
2017-07-03,0.01782347212116537
2017-07-05,0.01290078386433489
2017-07-06,0.003924546267065528
2017-07-07,0.015413702460062304
2017-07-10,0.009182408011274913
2017-07-11,0.01971833519394304
2017-07-12,0.013116015692872815
