Date,OOS_Return
2017-01-04,0.01995753599218936
2017-01-05,-0.0023170166110586554
2017-01-06,0.0076626166584958365
2017-01-09,-0.010386932604751308
2017-01-10,-0.0018204274945255883
2017-01-11,0.0013141686697093647
2017-01-12,-0.0028844836223818515
2017-01-13,0.00235614894097297
2017-01-17,-0.004396367238124431
2017-01-18,0.011028265635767408
2017-01-19,0.008794723907381499
2017-01-20,0.006420618637602305
2017-01-23,-0.0018007260793282496
2017-01-24,0.0024602606235158636
2017-01-25,0.0023031345417718002
2017-01-26,-0.0005059539072017284
2017-01-27,-0.003242296054434464
2017-01-30,-0.003776985313092811
2017-01-31,0.004007873449575248
2017-02-01,-0.005905107270493613
2017-02-02,0.001472500427615286
2017-02-03,0.0021630403317473134
2017-02-06,-0.0004155991795094097
2017-02-07,0.007636726002042581
2017-02-08,-0.007203703691756024
2017-02-09,0.010584991314191161
2017-02-10,0.0027542355919506043
2017-02-13,0.0105913204221536
2017-02-14,-0.00010838997167491714
2017-02-15,0.00680820182171613
2017-02-16,-0.000233808611288452
2017-02-17,0.002843503875275756
2017-02-21,0.005284139172665119
2017-02-22,0.0080454552651126
2017-02-23,0.017991567883860887
2017-02-24,0.005195476859640313
2017-02-27,-0.009176845650044394
2017-02-28,-0.007600027145545044
2017-03-01,0.01648522920041345
2017-03-02,-0.016493113284102454
2017-03-03,0.0007486599631683805
2017-03-06,-0.00467257463562055
2017-03-07,-0.0013394234952658172
2017-03-08,0.0008370730362887999
2017-03-09,0.00262443896299809
2017-03-10,0.0031203832767588155
2017-03-13,0.0016202758042267805
2017-03-14,-0.002025534159230601
2017-03-15,0.0029018188427043772
2017-03-16,0.002458488735938244
2017-03-17,0.0006084015467777482
2017-03-20,-0.002874634495958074
2017-03-21,-0.015336795315003565
2017-03-22,0.0022337384125998058
2017-03-23,0.0006869209546235231
2017-03-24,-0.0017873875299274748
2017-03-27,0.0003103303791623124
2017-03-28,0.004682516582706016
2017-03-29,-0.000685658751102225
2017-03-30,0.005758738557084394
2017-03-31,0.0008301556392827405
2017-04-03,-0.00702080440356231
2017-04-04,0.002619264584134102
2017-04-05,-0.005199332689968102
2017-04-06,0.0014151341690391995
2017-04-07,0.003309697783656425
2017-04-10,0.002971895380858636
2017-04-11,-0.0011386570592694107
2017-04-12,-0.00035020244099827217
2017-04-13,-0.007792876503709372
2017-04-17,0.010960437453374418
2017-04-18,-0.002664168239838789
2017-04-19,0.0008910324823838601
2017-04-20,0.013539315719990704
2017-04-21,-0.0023672140205862786
2017-04-24,0.011835474253326988
2017-04-25,0.012185496249127022
2017-04-26,0.0037409639157585575
2017-04-27,0.005783374198781405
2017-04-28,-0.002823035894470565
2017-05-01,0.004269761008918007
2017-05-02,-0.0018234450391195409
2017-05-03,-0.005362293315952035
2017-05-04,0.006961240088689349
2017-05-05,0.005962801675290155
2017-05-08,-0.0055155553261526285
2017-05-09,0.0011178316475745564
2017-05-10,0.002125409736025757
2017-05-11,-0.0003718465223995919
2017-05-12,-0.0005234112637196799
2017-05-15,0.007132349215520014
2017-05-16,-0.0019438613169415135
2017-05-17,-0.01628198483807747
2017-05-18,0.005707372874405332
2017-05-19,0.0037966284763049094
2017-05-22,0.009486558286870735
2017-05-23,0.0064360282386896304
2017-05-24,0.006385248482493319
2017-05-25,0.005394589835988694
2017-05-26,0.003827968696249699
2017-05-30,-0.0017237900007897981
2017-05-31,0.007072509033255723
2017-06-01,0.010617135985227876
2017-06-02,0.0017834381207553658
2017-06-05,-0.0005600623983655177
2017-06-06,-0.0012991770151255136
2017-06-07,0.006433502609875016
2017-06-08,0.006903203261060888
2017-06-09,-0.005663779062603252
2017-06-12,-0.0002688785309902693
2017-06-13,0.0019451377931456832
2017-06-14,-0.0013436561827480497
2017-06-15,0.001521691214353056
2017-06-16,0.0004579788966781724
2017-06-19,0.008283610265243789
2017-06-20,-0.00893827952041297
2017-06-21,0.0013846647108063164
2017-06-22,-0.0016336468518775057
2017-06-23,0.004288047714979484
2017-06-26,0.00038779080938843187
2017-06-27,-0.005519619288377242
2017-06-28,0.01690847868886327
2017-06-29,-0.009201962084813916
2017-06-30,0.0003936410453531348
2017-07-03,0.007338356651041762
2017-07-05,0.006114549598124991
2017-07-06,-0.009620182258886128
2017-07-07,0.007964126946399218
2017-07-10,0.0027832450831634
2017-07-11,0.000549359870528076
2017-07-12,0.009385614238795
2017-07-13,0.0063583875234385035
2017-07-14,-0.000587866600505322
2017-07-17,0.0019878393214271873
2017-07-18,0.008142127076839355
2017-07-19,0.0022398335766807735
2017-07-20,0.0026784847405164048
2017-07-21,0.0022677453671502545
2017-07-24,0.0009961914133217854
2017-07-25,-0.0009029688783387939
2017-07-26,-0.0015496029464601864
2017-07-27,-0.0047321593150404144
2017-07-28,0.0037472381522461913
2017-07-31,0.0029283067948188764
2017-08-01,0.007613729572985783
2017-08-02,-0.004485209628741835
2017-08-03,-0.004381192225353055
2017-08-04,-0.000274067486145935
2017-08-07,0.0013380296373959044
2017-08-08,0.0010773839344998092
2017-08-09,0.001718847322431849
2017-08-10,-0.012721819857505444
2017-08-11,-0.004455731993578321
2017-08-14,0.012422444581652307
2017-08-15,0.0009808507562857566
2017-08-16,0.0037540957951380585
2017-08-17,-0.01453906092013627
2017-08-18,-0.00024299369653082265
2017-08-21,0.0002718270798236737
2017-08-22,0.010238234424262214
2017-08-23,-0.004046379879348558
2017-08-24,-0.0058689883396859195
2017-08-25,0.0025353314358281887
2017-08-28,-0.00622083443849026
2017-08-29,-4.100053304258622e-06
2017-08-30,0.0028064444188905034
2017-08-31,0.003072939980766776
2017-09-01,-0.0039228325821036155
2017-09-05,-0.022130025790886992
2017-09-06,0.002515741872235834
2017-09-07,-0.011132994047332959
