Date,OOS_Return
2016-06-27,-0.03214463666137801
2016-06-28,0.023408490812961175
2016-06-29,0.024124110245153974
2016-06-30,0.019202065025009468
2016-07-01,-0.003577409154079485
2016-07-05,-0.01312773067877478
2016-07-06,0.002186266562166715
2016-07-07,0.0032448881476081575
2016-07-08,0.016847804906137725
2016-07-11,0.004841570589888505
2016-07-12,0.010617376132097938
2016-07-13,-0.0009333674454298987
2016-07-14,0.007553398986884129
2016-07-15,-0.0007748598085250179
2016-07-18,-0.00037031650523553384
2016-07-19,0.001387144782715832
2016-07-20,0.00149650599307134
2016-07-21,-0.003699246082159481
2016-07-22,0.007374390169969963
2016-07-25,2.0808452663162035e-06
2016-07-26,0.003517754209856453
2016-07-27,0.0013933963458050789
2016-07-28,0.0030471424756994335
2016-07-29,-0.00396906900434514
2016-08-01,-0.0014881795517631352
2016-08-02,-0.006174628028868309
2016-08-03,0.009317872218246105
2016-08-04,0.0012003705107124318
2016-08-05,0.01453449099152052
2016-08-08,-0.000321694940021969
2016-08-09,-0.0004173038124096177
2016-08-10,-0.003917718426018911
2016-08-11,0.0022830919001362833
2016-08-12,-0.0023824904797072896
2016-08-15,0.00705103299129171
2016-08-16,-0.004302252918057288
2016-08-17,0.0020660109659687105
2016-08-18,0.003097752205758247
2016-08-19,-0.0004917568829779628
2016-08-22,0.0009736060336930302
2016-08-23,0.0013247448719819126
2016-08-24,-0.0021602473904010254
2016-08-25,0.003127975485023944
2016-08-26,0.0008189171960559439
2016-08-29,0.007380899083712934
2016-08-30,0.00569590634589543
2016-08-31,0.001158466014634824
2016-09-01,-0.0011115871161112656
2016-09-02,0.004550523272535588
2016-09-06,-0.003085098559189735
2016-09-07,0.001973016902553239
2016-09-08,-0.002284447478695456
2016-09-09,-0.017151227374023536
2016-09-12,0.013482380957992824
2016-09-13,-0.013128746920655026
2016-09-14,-0.005350928256712258
2016-09-15,0.009892572071150005
2016-09-16,-0.0071776262516369494
2016-09-19,0.005084777664304636
2016-09-20,0.0010670293809225818
2016-09-21,0.009706189178724274
2016-09-22,0.0036263359173189648
2016-09-23,-0.008182064568385035
2016-09-26,-0.011460653148358906
2016-09-27,0.005921085447533867
2016-09-28,0.0037912923615789837
2016-09-29,-0.012081159041407797
2016-09-30,0.009008479409172642
2016-10-03,-0.0036266319926647984
2016-10-04,0.0007847165509495536
2016-10-05,0.008860425763851994
2016-10-06,0.0003777570264444746
2016-10-07,-0.0013244751114517318
2016-10-10,0.0023040623084306065
2016-10-11,-0.011768791338944385
2016-10-12,0.005341111355173852
2016-10-13,-0.0077451084547275955
2016-10-14,0.004059298531688152
2016-10-17,-0.0055115428761828
2016-10-18,0.00546856976142528
2016-10-19,0.0029410848262452437
2016-10-20,-0.0056831788038205185
2016-10-21,0.0010671051183040344
2016-10-24,0.003953409962740017
2016-10-25,-0.0023684262067004778
2016-10-26,0.0021461836450949487
2016-10-27,-0.0041758657694147125
2016-10-28,0.00045985736434589047
2016-10-31,0.0012493954203250414
2016-11-01,-0.006436211128632933
2016-11-02,-0.007628791530262453
2016-11-03,0.0035724744750672854
2016-11-04,-0.0038897361789417702
2016-11-07,0.01822357674876
2016-11-08,0.003783480000603049
2016-11-09,0.024561178321791187
2016-11-10,0.0206252411793944
2016-11-11,0.0038058655614004004
2016-11-14,0.009018819791023817
2016-11-15,0.0008664629124401006
2016-11-16,-0.0054798774292208275
2016-11-17,0.01279211875807745
2016-11-18,0.002843354232430131
